"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Haushaltsgrösse - Total","1 Person","2 Personen","3 Personen","4 Personen","5 Personen","6 oder mehr Personen"
"2023","......0243 Dietikon",27773,4489,7624,5037,6224,2775,1624
"2023","......0244 Geroldswil",5167,693,1452,945,1260,520,297
"2023","......0245 Oberengstringen",6671,1244,2104,1251,1372,465,235
"2023","......0246 Oetwil an der Limmat",2569,439,938,345,548,210,89
"2023","......0247 Schlieren",20099,3418,5524,4005,4048,1835,1269
"2023","......0248 Uitikon",5473,652,1642,1029,1484,495,171
"2023","......0249 Unterengstringen",4268,619,1352,813,920,380,184
"2023","......0250 Urdorf",10256,1751,2946,1812,2520,855,372
"2023","......0251 Weiningen (ZH)",5001,682,1508,924,1076,490,321
"2023",">> Bezirk Zürich",420799,95266,125142,75339,81124,28315,15613
"2023","......0261 Zürich",420799,95266,125142,75339,81124,28315,15613
"2023","- Bern / Berne",1042702,190257,341990,165042,217684,88155,39574
"2023",">> Arrondissement administratif Jura bernois",52836,9712,15726,9045,11244,4935,2174
"2023","......0431 Corgémont",1816,240,520,306,508,170,72
"2023","......0432 Cormoret",499,65,138,72,148,70,6
"2023","......0433 Cortébert",656,109,204,126,116,70,31
"2023","......0434 Courtelary",1416,209,370,231,364,135,107
"2023","......0435 La Ferrière",531,79,156,93,136,35,32
"2023","......0437 Mont-Tramelan",112,15,30,9,36,10,12
"2023","......0438 Orvin",1249,207,384,213,256,105,84
"2023","......0441 Renan (BE)",864,133,278,114,208,85,46
"2023","......0442 Romont (BE)",221,21,98,48,44,10,0
"2023","......0443 Saint-Imier",4984,1179,1380,819,984,430,192
"2023","......0444 Sonceboz-Sombeval",1883,273,518,378,436,195,83
"2023","......0445 Sonvilier",1181,192,286,222,276,135,70
"2023","......0446 Tramelan",4545,827,1354,723,896,495,250
"2023","......0448 Villeret",915,165,262,135,228,70,55
"2023","......0449 Sauge",799,156,266,132,184,40,21
"2023","......0450 Péry-La Heutte",1927,320,642,321,420,155,69
"2023","......0681 Belprahon",260,38,122,45,44,5,6
"2023","......0683 Champoz",158,19,42,36,24,25,12
"2023","......0687 Corcelles (BE)",195,38,64,39,32,10,12
"2023","......0690 Court",1355,197,424,204,336,140,54
"2023","......0691 Crémines",533,105,164,66,104,75,19
"2023","......0692 Eschert",380,44,134,66,88,35,13
"2023","......0694 Grandval",376,67,124,45,76,30,34
"2023","......0696 Loveresse",346,47,124,24,72,60,19
"2023","......0700 Moutier",7023,1551,2154,1185,1336,545,252
"2023","......0701 Perrefitte",480,76,146,66,116,50,26
"2023","......0703 Reconvilier",2367,445,676,423,488,245,90
"2023","......0704 Roches (BE)",195,33,64,36,52,10,0
